source_page,source_row,category,description,manufacturer_code,brand,quantity,source_price_cents,sale_price_cents,total_cents,confidence,source_fingerprint,internal_code,slug,issues
5,401,Iluminação,LENTE LANTERNA UNIVERSAL REDONDA ANTIGA (AMARELA),,,20,900,1170,23400,medium,7a04f4a1c9cd83b690bfaf8ddaa672a4113b889deb72a3940ddf6aa7525a6382,APM1-0401,lente-lanterna-universal-redonda-antiga-amarela-apm1-0401,missing_manufacturer_code
5,402,Iluminação,LANTERNA DELIMITADORA MERCEDES CABINE (2 PÇ),,,2,3500,4550,9100,medium,7252ffc6fce0eaa2023b46972c039a31c7a3528416563ba010d95688b35c7d04,APM1-0402,lanterna-delimitadora-mercedes-cabine-2-pc-apm1-0402,missing_manufacturer_code
5,403,Iluminação,LANTERNA PISCA DIANTEIRA MERCEDES BENZ LD,,,1,3600,4680,4680,medium,13d45469ebb7d891eb24e0aa57c51ef5e03a754031c6ebbb1f192284e933e806,APM1-0403,lanterna-pisca-dianteira-mercedes-benz-ld-apm1-0403,missing_manufacturer_code
5,404,Iluminação,LANTERNA PLACA MONZA/KADDET 89/94,,,2,1300,1690,3380,medium,d7aec4403507510447e4ce9795e27f4cc201a73bbd22d5580a71bda0156ee205,APM1-0404,lanterna-placa-monza-kaddet-89-94-apm1-0404,missing_manufacturer_code
5,405,Iluminação,LANTERNA P/CHOQUE NW FIESTA 2013 LE,134231-6,DSC,1,2900,3770,3770,high,05dcfb7f0c2f4f0e3a5b7849815c18d224140b6cf81d8eafabb2d319ffe0ee51,APM1-0405,lanterna-p-choque-nw-fiesta-2013-le-apm1-0405,
5,406,Iluminação,LANTERNA ESTIBO CARRETA (CRISTAL),,,1,1800,2340,2340,medium,913ae11fb7c2c255b966329dc725da09ecf2d661bda563a40058770f52933158,APM1-0406,lanterna-estibo-carreta-cristal-apm1-0406,missing_manufacturer_code
5,407,Iluminação,LANTERNA DE LEITURA OPALA/MONZA 85/.. KADETT 89/... (CINZA),DP7233,D'PAULA,1,1800,2340,2340,high,be0efb724da3090eef970f12744d92f5c371b3f3a242c440775bb182eec19191,APM1-0407,lanterna-de-leitura-opala-monza-85-kadett-89-cinza-apm1-0407,
5,408,Iluminação,LANTERNA LUZ OPALLA 80/87 CHEVETTE 83/94,,,1,1500,1950,1950,medium,303d06624ad110ae6012857d021f45a1a0afb820f7cd43ad5024e738f0bac7bd,APM1-0408,lanterna-luz-opalla-80-87-chevette-83-94-apm1-0408,missing_manufacturer_code
5,409,Iluminação,LENTE LATERAL SETA PISCA DIANTEIRA (AMARELA),,,1,1500,1950,1950,medium,bfd4b1110612d9028cac60f306c1779f0f59b7c9cd9baf0dca82eb603e92cf18,APM1-0409,lente-lateral-seta-pisca-dianteira-amarela-apm1-0409,missing_manufacturer_code
5,410,Iluminação,LENTE DELIMITADORA (CRISTAL),,,7,1500,1950,13650,medium,fcd1e7a1d9cf8c3673e6d1fb0d5b6534933a857c7ceed71a335b8f877fb8c5eb,APM1-0410,lente-delimitadora-cristal-apm1-0410,missing_manufacturer_code
